Question_ID,Preamble,Question,Type,Question_Parent,Parent_Value,,Likert Scale
1,,Did you use the text tool to provide feedback?,boolean,,,,
1_a_a,Please tell us about your experience in using the text tool in UQMarkUp:,I found the functions of the text tool to be simple to understand,likeit_optional,1,Yes,,A
1_a_b,Please tell us about your experience in using the text tool in UQMarkUp:,I found the use of the text tool to be easy,likeit_optional,1,Yes,,A
1_a_c,Please tell us about your experience in using the text tool in UQMarkUp:,I found it difficult to use the text tool,likeit_optional,1,Yes,,A
1_a_d,Please tell us about your experience in using the text tool in UQMarkUp:,I found the text tool useful for providing feedback to students,likeit_optional,1,Yes,,A
1_a_e,Please tell us about your experience in using the text tool in UQMarkUp:,I found the text tool to effective in helping me provide feedback to students,likeit_optional,1,Yes,,A
1_b,,Please explain your answers to the above or add any further comments.,text,1,Yes,,A
2,,Did you use the highlighting tool when providing feedback?,boolean,,,,
2_a_a,Please tell us about your experience in using the highlighting tool in UQMarkUP:,I found the functions of the highlighting tool to be simple to understand,likeit_optional,2,Yes,,A
2_a_b,Please tell us about your experience in using the highlighting tool in UQMarkUP:,I found the use of the highlighting tool to be easy,likeit_optional,2,Yes,,A
2_a_c,Please tell us about your experience in using the highlighting tool in UQMarkUP:,I found it difficult to use the highlighting tool,likeit_optional,2,Yes,,A
2_a_d,Please tell us about your experience in using the highlighting tool in UQMarkUP:,I found the highlighting tool useful for providing feedback to students,likeit_optional,2,Yes,,A
2_a_e,Please tell us about your experience in using the highlighting tool in UQMarkUP:,I found the highlighting tool to effective in helping me provide feedback to students,likeit_optional,2,Yes,,A
2_b,,Please explain your answers to the above or add any further comments.,text,2,Yes,,
3,,Did you use the handwriting/drawing tool when providing feedback?,boolean,,,,
3_a_a,Please tell us about your experience in using the handwriting/drawing tool in UQMarkUP:,I found the functions of the handwriting/drawing tool to be simple to understand,likeit_optional,3,Yes,,A
3_a_b,Please tell us about your experience in using the handwriting/drawing tool in UQMarkUP:,I found the use of the handwriting/drawing tool to be easy,likeit_optional,3,Yes,,A
3_a_c,Please tell us about your experience in using the handwriting/drawing tool in UQMarkUP:,I found it difficult to use the handwriting/drawing tool,likeit_optional,3,Yes,,A
3_a_d,Please tell us about your experience in using the handwriting/drawing tool in UQMarkUP:,I found the handwriting/drawing tool useful for providing feedback to students,likeit_optional,3,Yes,,A
3_a_e,Please tell us about your experience in using the handwriting/drawing tool in UQMarkUP:,I found the handwriting/drawing tool to effective in helping me provide feedback to students,likeit_optional,3,Yes,,A
3_b,,Please explain your answers to the above or add any further comments.,text,3,Yes,,
4,,Did you use the audio comment tool when providing feedback?,boolean,,,,
4_a_a,Please tell us about your experience in using the audio comment tool in UQMarkUP:,I found the functions of the audio comment tool to be simple to understand,likeit_optional,4,Yes,,A
4_a_b,Please tell us about your experience in using the audio comment tool in UQMarkUP:,I found the use of the audio comment tool to be easy,likeit_optional,4,Yes,,A
4_a_c,Please tell us about your experience in using the audio comment tool in UQMarkUP:,I found it difficult to use the audio comment tool,likeit_optional,4,Yes,,A
